"('use', 0.004956216)","('digit', 0.0049157427)","('work', 0.0030001544)","('get', 0.002710209)","('light', 0.002622362)","('switch', 0.0025941445)","('would', 0.0025041813)","('go', 0.0024335587)","('like', 0.0019593143)","('hub', 0.0017278586)"
"('digit', 0.006092474)","('use', 0.0036848786)","('switch', 0.003450462)","('get', 0.0031668548)","('like', 0.0028241805)","('work', 0.002677257)","('would', 0.002606802)","('smart', 0.0022974974)","('go', 0.0022604084)","('light', 0.0019800242)"
"('digit', 0.004930609)","('use', 0.0046648784)","('switch', 0.00363545)","('like', 0.003079096)","('get', 0.002613237)","('smart', 0.0025843147)","('control', 0.0023802607)","('would', 0.0023268666)","('work', 0.0022229867)","('light', 0.0021774112)"
"('digit', 0.004393985)","('use', 0.003650626)","('switch', 0.0029268896)","('work', 0.0027795678)","('like', 0.00272732)","('smart', 0.0024544466)","('light', 0.0024203188)","('go', 0.0023118923)","('would', 0.0023044988)","('want', 0.0019157592)"
"('digit', 0.0053800168)","('use', 0.0041991775)","('switch', 0.004084833)","('get', 0.003522817)","('would', 0.0024612055)","('device', 0.0021327273)","('like', 0.002117842)","('control', 0.0019681016)","('want', 0.0019624562)","('light', 0.0018321464)"
"('digit', 0.004628319)","('use', 0.0043721157)","('switch', 0.0030379503)","('get', 0.0030205683)","('would', 0.0028719653)","('work', 0.002654597)","('go', 0.0025838611)","('smart', 0.002537713)","('like', 0.002231448)","('turn', 0.0021580264)"
"('digit', 0.004870277)","('use', 0.004383252)","('get', 0.004055606)","('switch', 0.0034711356)","('work', 0.002598296)","('smart', 0.002453174)","('hub', 0.0023306846)","('would', 0.002200242)","('light', 0.0021579873)","('device', 0.0021317753)"
"('digit', 0.005124926)","('use', 0.0042505716)","('switch', 0.0036321771)","('like', 0.0025795274)","('get', 0.0025631802)","('work', 0.0025559743)","('would', 0.0024645114)","('light', 0.0021811132)","('go', 0.0021409623)","('device', 0.0020583172)"
"('digit', 0.0061234417)","('get', 0.0039131353)","('use', 0.003270289)","('work', 0.0028206438)","('switch', 0.0028117255)","('smart', 0.0024685857)","('like', 0.002224729)","('go', 0.0021775938)","('control', 0.0020771697)","('device', 0.0019430394)"
"('digit', 0.0053967694)","('use', 0.0052336976)","('switch', 0.0032058624)","('like', 0.0026720082)","('smart', 0.0025469067)","('go', 0.002444129)","('get', 0.0024364062)","('work', 0.0024010232)","('device', 0.0021635422)","('would', 0.0020864434)"
"('digit', 0.004637737)","('switch', 0.0041676867)","('use', 0.003925543)","('get', 0.0030799455)","('like', 0.0028539714)","('work', 0.0025158022)","('go', 0.0023831131)","('light', 0.0022133589)","('device', 0.0020411795)","('smart', 0.002038571)"
"('digit', 0.005922077)","('use', 0.0036899818)","('switch', 0.0035950136)","('work', 0.0032765316)","('get', 0.0027936753)","('like', 0.0027277207)","('would', 0.0027254857)","('go', 0.002362573)","('device', 0.002292973)","('light', 0.0020495418)"
"('digit', 0.0052885753)","('switch', 0.0044640317)","('use', 0.0041206325)","('like', 0.0029242388)","('work', 0.0028677534)","('get', 0.0028664274)","('go', 0.002554644)","('would', 0.0024906478)","('light', 0.0020287095)","('hub', 0.0019622077)"
"('digit', 0.006721666)","('use', 0.0036939227)","('switch', 0.0036434038)","('smart', 0.0029327583)","('get', 0.0028415336)","('work', 0.0027310778)","('device', 0.0022620012)","('would', 0.0022307308)","('light', 0.002175841)","('go', 0.002164052)"
"('digit', 0.006784784)","('use', 0.0048468616)","('switch', 0.0037731298)","('get', 0.0031739553)","('would', 0.0030469836)","('work', 0.002959985)","('go', 0.0028342828)","('light', 0.0026069426)","('smart', 0.0020687424)","('like', 0.0020264178)"
"('use', 0.0047388384)","('digit', 0.0047309576)","('switch', 0.0034495948)","('light', 0.00300262)","('work', 0.0026368666)","('would', 0.0026359216)","('get', 0.0022420962)","('like', 0.0022305073)","('smart', 0.0020664597)","('want', 0.0020485611)"
"('digit', 0.0049308995)","('use', 0.0044726664)","('switch', 0.0035372425)","('get', 0.003018095)","('smart', 0.0025049725)","('go', 0.002345531)","('would', 0.0023016322)","('like', 0.002296622)","('device', 0.002202984)","('light', 0.0021961294)"
"('digit', 0.004903603)","('switch', 0.0036867608)","('like', 0.0032006754)","('go', 0.0028908572)","('work', 0.0027890292)","('light', 0.0027460668)","('use', 0.0025019778)","('want', 0.002484633)","('get', 0.0024275223)","('smart', 0.0021236707)"
"('digit', 0.005522015)","('switch', 0.0036133518)","('like', 0.0034548508)","('use', 0.0034374006)","('get', 0.0033246118)","('work', 0.00266239)","('would', 0.0025685453)","('smart', 0.0021141733)","('go', 0.0020156133)","('well', 0.0019709365)"
